x = 0, y = 0, velocity = 25, angle = 45.0°
x = 1.7677669529663689, y = 1.7187669529663687, velocity = 24.316911146810135, angle = 43.36700783477222°
x = 3.5355339059327378, y = 3.3395339059327376, velocity = 23.654706412122685, angle = 41.64111658049257°
x = 5.303300858899107, y = 4.862300858899105, velocity = 23.015188532045034, angle = 39.81757806097754°
x = 7.0710678118654755, y = 6.287067811865473, velocity = 22.40030068743356, angle = 37.89188484202494°
x = 8.838834764831844, y = 7.613834764831841, velocity = 21.812125953452945, angle = 35.85993532466168°
x = 10.606601717798213, y = 8.84260171779821, velocity = 21.252882306434454, angle = 33.71823340660166°
x = 12.374368670764582, y = 9.973368670764579, velocity = 20.724911919065278, angle = 31.46412278706854°
x = 14.142135623730951, y = 11.006135623730948, velocity = 20.23066340422066, angle = 29.09605269299008°
x = 15.90990257669732, y = 11.940902576697317, velocity = 19.772665715495528, angle = 26.613867229470927°
x = 17.67766952966369, y = 12.777669529663685, velocity = 19.35349263617788, angle = 24.019104779532327°
x = 19.445436482630058, y = 13.516436482630054, velocity = 18.97571724442717, angle = 21.315287304236563°
x = 21.213203435596427, y = 14.157203435596422, velocity = 18.64185647038164, angle = 18.508172879364032°
x = 22.980970388562795, y = 14.69997038856279, velocity = 18.354306861992065, angle = 15.605939692345398°
x = 24.748737341529164, y = 15.144737341529158, velocity = 18.11527388989822, angle = 12.61926772990611°
x = 26.516504294495533, y = 15.491504294495526, velocity = 17.92669840846014, angle = 9.561287264359443°
x = 28.284271247461902, y = 15.740271247461894, velocity = 17.7901850341627, angle = 6.447372221310688°
x = 30.05203820042827, y = 15.891038200428262, velocity = 17.70693794171103, angle = 3.2947716295693628°
x = 31.81980515339464, y = 15.943805153394631, velocity = 17.677709664814184, angle = 0.12209198704406424°
x = 33.58757210636101, y = 15.898572106361, velocity = 17.702767769908863, angle = -3.0513357963108367°
x = 35.35533905932738, y = 15.755339059327367, velocity = 17.78188275850404, angle = -6.206153555010269°
x = 37.123106012293746, y = 15.514106012293736, velocity = 17.91433845161586, angle = -9.323675469788352°
x = 38.890872965260115, y = 15.174872965260104, velocity = 18.098963779202986, angle = -12.38652805925543°
x = 40.658639918226484, y = 14.737639918226472, velocity = 18.334182763427467, angle = -15.379178137697641°
x = 42.42640687119285, y = 14.20240687119284, velocity = 18.618077917030536, angle = -18.288313549936152°
x = 44.19417382415922, y = 13.569173824159208, velocity = 18.94846149550088, angle = -21.10306223898657°
x = 45.96194077712559, y = 12.837940777125576, velocity = 19.322949070168836, angle = -23.815055063892217°
x = 47.72970773009196, y = 12.008707730091944, velocity = 19.73903058638387, angle = -26.418353331037302°
x = 49.49747468305833, y = 11.08147468305831, velocity = 20.194135193467858, angle = -28.90927146684694°
x = 51.2652416360247, y = 10.056241636024678, velocity = 20.68568741748546, angle = -31.286128573530686°
x = 53.033008588991066, y = 8.933008588991045, velocity = 21.21115347301451, angle = -33.548960931356575°
x = 54.800775541957435, y = 7.711775541957412, velocity = 21.768077530586726, angle = -35.69922257422165°
x = 56.568542494923804, y = 6.392542494923778, velocity = 22.354108506032933, angle = -37.739494604514555°
x = 58.33630944789017, y = 4.975309447890145, velocity = 22.9670184138332, angle = -39.67321730732178°
x = 60.10407640085654, y = 3.4600764008565115, velocity = 23.604713566218347, angle = -41.50445326538942°
x = 61.87184335382291, y = 1.846843353822878, velocity = 24.265239958942747, angle = -43.23768500261031°
x = 63.63961030678928, y = 0.13561030678924438, velocity = 24.94678412114337, angle = -44.87764729108743°
